Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
9947.35,1945.0,4.81,65.82,0.43,16.42,7.13,0.2,2.85,4.37,1.7,0.13,0.0,0.0,0.93,0.0,1.0
4966.56,1953.0,3.58,43.37,0.08,1.15,8.48,46.03,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5525.18,1968.0,1.45,49.87,1.8,16.14,10.47,7.53,10.88,2.98,0.12,0.2,0.0,0.0,0.0,0.0,1.0
10469.04,1971.0,-0.25,59.92,1.05,15.67,4.97,2.75,4.51,4.12,3.22,0.49,0.0,1.46,1.85,0.0,1.0
9385.54,1985.0,-4.66,52.53,1.05,16.71,6.87,3.87,4.72,4.41,2.39,0.32,0.0,5.13,2.02,0.0,1.0
6971.69,1989.0,1.31,47.36,1.01,17.77,8.97,9.87,12.44,2.5,0.02,0.05,0.0,0.0,0.0,0.0,1.0
5723.81,1992.0,-1.72,56.45,0.5,15.93,3.64,2.02,5.14,3.95,0.84,0.0,0.0,1.33,10.2,0.0,1.0
698.23,1955.0,0.8,51.03,1.68,14.92,11.15,7.26,11.08,2.64,0.08,0.16,0.0,0.0,0.0,0.0,1.0
11068.05,1958.0,-4.58,44.53,0.1,3.1,8.35,40.84,2.5,0.25,0.01,0.01,0.0,0.0,0.3,0.0,1.0
2871.03,1975.0,0.9,72.66,0.17,13.87,1.75,0.78,2.11,4.36,2.78,0.05,0.0,1.48,0.0,0.0,1.0
2609.49,1985.0,-1.82,63.06,0.4,17.89,3.35,1.71,4.84,5.01,1.32,0.13,0.0,2.28,0.0,0.0,1.0
10620.96,1987.0,-0.25,46.98,0.73,13.12,5.26,4.72,8.05,2.52,1.24,0.27,0.0,1.27,15.83,0.0,1.0
3501.97,1993.0,0.9,51.43,1.99,13.88,12.68,6.21,10.55,2.73,0.27,0.26,0.0,0.0,0.0,0.0,1.0
399.85,1947.0,-0.15,61.42,0.58,16.97,4.47,2.6,5.94,4.1,2.21,0.22,0.0,1.49,0.0,0.0,1.0
6730.2,1950.0,-0.2,69.59,0.38,15.51,2.26,1.27,0.49,4.44,4.11,0.15,0.0,1.79,0.0,0.0,1.0
2327.51,1954.0,2.45,61.38,0.41,16.48,3.2,1.86,4.3,3.86,1.48,0.13,0.0,5.14,1.76,0.0,1.0
