Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
1954.84,1950.0,1.46,62.63,0.49,16.98,3.58,1.99,4.76,4.31,1.98,0.17,0.0,1.47,1.65,0.0,1.0
2497.77,1952.0,-2.18,58.31,0.72,16.76,6.0,3.51,7.53,2.98,2.47,0.24,0.0,1.49,0.0,0.0,1.0
11641.13,1962.0,-4.28,53.99,0.36,19.43,0.0,7.63,14.31,3.34,0.06,0.02,0.0,0.85,0.02,0.0,1.0
2216.14,1972.0,1.55,69.57,0.34,16.36,2.14,0.64,3.45,4.89,2.5,0.11,0.0,0.0,0.0,0.0,1.0
10708.7,1976.0,-3.17,61.84,0.42,15.49,6.5,1.57,4.94,2.31,2.89,0.11,0.0,2.65,1.3,0.0,1.0
11805.07,1987.0,-0.2,61.05,0.29,12.68,3.72,8.18,3.73,3.78,2.02,0.04,0.0,2.84,1.68,0.0,1.0
8437.66,1988.0,3.81,57.54,0.7,15.22,5.51,5.06,7.61,4.26,2.1,0.51,0.0,1.48,0.0,0.0,1.0
3140.81,1990.0,1.96,57.02,0.92,17.79,5.15,2.65,6.59,4.48,1.03,0.22,0.0,4.15,0.0,0.0,1.0
5997.71,1945.0,-1.98,61.32,0.4,17.2,3.52,1.93,4.63,4.14,1.59,0.16,0.0,5.1,0.0,0.0,1.0
34.39,1946.0,-4.78,51.68,0.16,13.9,0.0,19.7,13.06,1.02,0.0,0.0,0.0,0.0,0.47,0.0,1.0
838.76,1948.0,-1.47,51.12,1.31,15.4,8.99,8.76,11.7,2.48,0.11,0.13,0.0,0.0,0.0,0.0,1.0
4977.92,1960.0,1.39,50.75,2.15,13.59,12.48,6.74,10.77,3.13,0.16,0.22,0.0,0.0,0.0,0.0,1.0
375.86,1966.0,-3.93,59.79,0.79,18.56,5.88,2.34,5.35,3.57,1.62,0.33,0.0,0.55,1.21,0.0,1.0
8473.24,1967.0,-5.0,53.68,0.79,15.5,7.39,8.32,8.93,3.02,1.27,0.27,0.0,0.84,0.0,0.0,1.0
4713.18,1968.0,4.62,59.34,0.64,17.36,5.19,3.29,6.6,4.07,1.73,0.24,0.0,1.49,0.06,0.0,1.0
6142.78,1973.0,2.73,75.41,0.0,19.32,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8313.74,1975.0,4.04,52.65,0.4,15.9,3.94,1.81,5.22,3.7,1.14,0.16,0.0,1.28,13.8,0.0,1.0
3536.3,1989.0,2.57,56.1,0.8,19.83,6.17,1.78,7.53,4.26,3.02,0.51,0.0,0.0,0.0,0.0,1.0
9542.65,1990.0,-2.04,68.47,1.01,14.25,3.21,1.88,3.46,4.55,1.58,0.1,0.0,1.48,0.0,0.0,1.0
6226.27,1946.0,-3.42,61.26,0.59,17.02,4.55,2.63,5.95,4.09,2.2,0.23,0.0,1.49,0.0,0.0,1.0
895.16,1947.0,-4.97,65.44,0.51,16.26,2.87,1.29,3.47,4.25,2.78,0.17,0.0,2.95,0.0,0.0,1.0
4903.75,1950.0,-0.08,60.1,0.41,18.07,3.55,2.04,5.06,4.22,1.21,0.15,0.0,5.1,0.07,0.0,1.0
7148.19,1959.0,4.11,47.61,3.62,14.89,12.96,5.06,10.86,3.58,1.03,0.38,0.0,0.0,0.0,0.0,1.0
6034.64,1963.0,-0.48,65.44,0.51,16.26,2.87,1.29,3.47,4.25,2.78,0.17,0.0,2.95,0.0,0.0,1.0
2415.34,1973.0,0.31,64.99,0.42,17.96,3.41,1.91,4.97,4.49,1.65,0.17,0.0,0.0,0.0,0.0,1.0
9551.83,1974.0,0.32,56.08,0.94,15.89,6.3,5.37,7.68,2.94,2.82,0.47,0.0,1.51,0.0,0.0,1.0
9056.0,1981.0,-3.14,49.15,0.04,1.03,0.0,48.63,0.74,0.09,0.28,0.03,0.0,0.0,0.0,0.0,1.0
993.27,1985.0,-0.25,68.95,0.31,15.63,2.34,1.65,4.03,4.01,1.43,0.13,0.0,1.5,0.0,0.0,1.0
7355.82,1990.0,-4.98,49.6,1.72,16.96,8.13,5.69,12.12,3.87,1.49,0.42,0.0,0.0,0.0,0.0,1.0
6668.91,1946.0,1.15,69.65,0.26,16.72,3.21,0.61,3.43,3.82,2.22,0.07,0.0,0.0,0.0,0.0,1.0
10685.75,1947.0,4.76,59.04,0.29,15.51,2.93,1.83,4.58,4.0,0.79,0.18,0.0,1.27,9.59,0.0,1.0
648.6,1948.0,-2.67,46.5,0.02,0.98,0.0,50.81,0.64,0.04,0.22,0.36,0.0,0.0,0.43,0.0,1.0
8009.19,1957.0,-0.42,55.59,0.08,1.17,0.0,22.54,20.38,0.22,0.02,0.0,0.0,0.0,0.0,0.0,1.0
912.27,1961.0,-2.92,49.03,0.52,15.65,4.27,2.45,5.6,3.14,1.36,0.28,0.0,1.24,16.47,0.0,1.0
1951.96,1962.0,-2.25,58.36,0.67,16.0,5.67,3.7,6.6,2.81,2.77,0.21,0.0,1.46,1.75,0.0,1.0
6567.74,1966.0,-4.86,67.52,0.42,15.79,2.55,1.58,3.05,5.46,1.91,0.17,0.0,1.54,0.0,0.0,1.0
11167.08,1972.0,-1.15,53.15,0.16,1.93,0.0,41.84,1.11,0.21,0.74,0.04,0.0,0.0,0.82,0.0,1.0
10684.58,1974.0,-0.46,52.4,0.18,13.93,0.0,19.22,13.24,0.79,0.0,0.0,0.0,0.0,0.24,0.0,1.0
11826.32,1975.0,-4.92,58.7,0.78,18.22,5.77,2.29,5.26,3.51,1.6,0.32,0.0,1.45,2.1,0.0,1.0
9851.0,1980.0,1.1,54.43,0.63,13.01,4.38,2.56,4.93,3.29,1.15,0.22,0.0,1.34,14.07,0.0,1.0
6096.45,1982.0,-3.19,54.48,0.54,12.48,4.51,1.13,4.99,3.82,1.37,0.2,0.0,1.31,15.17,0.0,1.0
7215.48,1988.0,-3.23,32.79,0.34,8.29,2.34,1.68,2.09,2.23,1.47,0.14,0.0,0.79,47.83,0.0,1.0
9206.21,1992.0,4.68,51.22,1.18,15.82,8.37,8.62,11.7,2.78,0.2,0.11,0.0,0.0,0.0,0.0,1.0
868.76,1993.0,4.49,49.06,1.12,11.42,11.29,11.8,12.33,2.39,0.43,0.16,0.0,0.0,0.0,0.0,1.0
11683.28,1945.0,0.34,61.76,0.57,17.55,4.37,2.32,5.36,4.27,2.08,0.24,0.0,1.49,0.0,0.0,1.0
10086.31,1947.0,-1.28,59.98,0.63,16.52,5.17,3.33,6.06,3.92,1.8,0.12,0.0,1.47,0.99,0.0,1.0
3654.58,1950.0,-2.18,52.18,0.41,17.23,4.29,8.6,14.43,2.81,0.03,0.02,0.0,0.0,0.0,0.0,1.0
7158.19,1955.0,-0.71,64.94,0.64,16.5,4.85,2.3,4.08,4.56,1.47,0.22,0.0,0.0,0.44,0.0,1.0
10157.33,1956.0,4.13,63.12,0.56,16.57,7.54,1.62,3.22,2.52,3.33,0.11,0.0,1.42,0.0,0.0,1.0
7156.04,1966.0,-1.52,62.74,0.66,13.13,4.9,3.78,3.35,4.45,2.9,0.3,0.0,1.84,1.94,0.0,1.0
2547.91,1977.0,-1.22,58.07,0.51,18.06,3.66,2.2,5.84,4.46,1.87,0.2,0.0,5.15,0.0,0.0,1.0
3404.17,1982.0,-1.51,64.41,0.54,11.2,6.28,3.64,5.0,3.34,2.44,0.28,0.0,2.86,0.0,0.0,1.0
1606.43,1993.0,3.78,54.45,0.59,16.76,0.0,10.61,14.73,2.73,0.07,0.0,0.0,0.0,0.04,0.0,1.0
1704.46,1946.0,-3.23,68.65,0.26,15.61,3.09,1.37,3.32,4.47,1.47,0.05,0.0,1.7,0.0,0.0,1.0
295.23,1950.0,-3.29,49.71,0.06,16.97,0.0,21.04,11.29,0.49,0.4,0.04,0.0,0.0,0.0,0.0,1.0
4714.25,1969.0,1.94,32.96,0.34,8.33,2.35,1.69,2.1,2.24,1.48,0.14,0.0,0.0,48.36,0.0,1.0
4338.86,1971.0,-3.86,64.32,0.73,17.3,4.79,2.33,3.94,3.14,2.64,0.27,0.0,0.53,0.0,0.0,1.0
191.15,1972.0,0.44,49.34,0.79,16.72,7.75,9.41,13.78,2.09,0.07,0.06,0.0,0.0,0.0,0.0,1.0
935.21,1981.0,3.61,55.65,16.68,5.37,0.09,21.63,0.49,0.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0
4415.11,1989.0,3.49,52.65,0.4,15.9,3.94,1.81,5.22,3.7,1.14,0.16,0.0,1.28,13.8,0.0,1.0
