System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 2000.00 1400.00 100.000000 1.0000000000000000 1.000000 -1205613.970718 288.379598 37.573677 152.621586 -219.125099 2716.963102 -7.261 -7.261 2.661438 0.000000 1.436 n/a n/a
2 2000.00 1397.00 100.000000 1.0000000000000000 1.000000 -1206071.835049 288.105698 37.565526 152.621301 -219.096702 2716.871260 -7.288 -7.288 2.662015 0.000000 1.446 n/a n/a
3 2000.00 1394.00 100.000000 1.0000000000000000 1.000000 -1206529.698525 287.831306 37.557376 152.621016 -219.068337 2716.778229 -7.316 -7.316 2.662593 0.000000 1.457 n/a n/a
4 2000.00 1391.00 100.000000 1.0000000000000000 1.000000 -1206987.561147 287.556421 37.549226 152.620732 -219.040003 2716.684009 -7.343 -7.343 2.663171 0.000000 1.467 n/a n/a
5 2000.00 1388.00 100.000000 1.0000000000000000 1.000000 -1207445.422917 287.281040 37.541076 152.620448 -219.011700 2716.588600 -7.371 -7.371 2.663749 0.000000 1.477 n/a n/a
6 2000.00 1385.00 100.000000 1.0000000000000000 1.000000 -1207903.283834 287.005162 37.532926 152.620164 -218.983429 2716.492002 -7.398 -7.398 2.664327 0.000000 1.487 n/a n/a
7 2000.00 1382.00 100.000000 1.0000000000000000 1.000000 -1208361.143900 286.728785 37.524777 152.619880 -218.955189 2716.394215 -7.426 -7.426 2.664906 0.000000 1.498 n/a n/a
8 2000.00 1379.00 100.000000 1.0000000000000000 1.000000 -1208819.003116 286.451907 37.516628 152.619597 -218.926981 2716.295238 -7.454 -7.454 2.665485 0.000000 1.508 n/a n/a
9 2000.00 1376.00 100.000000 1.0000000000000000 1.000000 -1209276.861482 286.174526 37.508479 152.619314 -218.898805 2716.195073 -7.482 -7.482 2.666064 0.000000 1.518 n/a n/a
10 2000.00 1373.00 100.000000 1.0000000000000000 1.000000 -1209734.719001 285.896641 37.500331 152.619031 -218.870659 2716.093718 -7.510 -7.510 2.666643 0.000000 1.529 n/a n/a
11 2000.00 1370.00 100.000000 1.0000000000000000 1.000000 -1210192.575671 285.618249 37.492182 152.618749 -218.842546 2715.991175 -7.538 -7.538 2.667223 0.000000 1.539 n/a n/a
12 2000.00 1367.00 100.000000 1.0000000000000000 1.000000 -1210650.431495 285.339349 37.484035 152.618467 -218.814463 2715.887442 -7.567 -7.567 2.667802 0.000000 1.550 n/a n/a
13 2000.00 1364.00 100.000000 1.0000000000000000 1.000000 -1211108.286473 285.059939 37.475887 152.618185 -218.786413 2715.782520 -7.595 -7.595 2.668382 0.000000 1.560 n/a n/a
14 2000.00 1361.00 100.000000 1.0000000000000000 1.000000 -1211566.140606 284.780018 37.467740 152.617904 -218.758393 2715.676409 -7.624 -7.624 2.668963 0.000000 1.571 n/a n/a
15 2000.00 1358.00 100.000000 1.0000000000000000 1.000000 -1212023.993896 284.499582 37.459593 152.617623 -218.730405 2715.569109 -7.653 -7.653 2.669543 0.000000 1.581 n/a n/a
16 2000.00 1355.00 100.000000 1.0000000000000000 1.000000 -1212481.846342 284.218630 37.451447 152.617342 -218.702449 2715.460620 -7.681 -7.681 2.670124 0.000000 1.592 n/a n/a
17 2000.00 1352.00 100.000000 1.0000000000000000 1.000000 -1212939.697946 283.937161 37.443300 152.617061 -218.674524 2715.350942 -7.711 -7.711 2.670705 0.000000 1.603 n/a n/a
18 2000.00 1349.00 100.000000 1.0000000000000000 1.000000 -1213397.548709 283.655173 37.435154 152.616781 -218.646631 2715.240074 -7.740 -7.740 2.671286 0.000000 1.613 n/a n/a
19 2000.00 1346.00 100.000000 1.0000000000000000 1.000000 -1213855.398631 283.372662 37.427009 152.616501 -218.618769 2715.128018 -7.769 -7.769 2.671867 0.000000 1.624 n/a n/a
20 2000.00 1343.00 100.000000 1.0000000000000000 1.000000 -1214313.247714 283.089629 37.418864 152.616221 -218.590938 2715.014772 -7.798 -7.798 2.672449 0.000000 1.635 n/a n/a
21 2000.00 1340.00 100.000000 1.0000000000000000 1.000000 -1214771.095958 282.806070 37.410719 152.615942 -218.563139 2714.900338 -7.828 -7.828 2.673031 0.000000 1.646 n/a n/a
22 2000.00 1337.00 100.000000 1.0000000000000000 1.000000 -1215228.943364 282.521984 37.402574 152.615663 -218.535371 2714.784714 -7.858 -7.858 2.673613 0.000000 1.657 n/a n/a
23 2000.00 1334.00 100.000000 1.0000000000000000 1.000000 -1215686.789933 282.237368 37.394430 152.615384 -218.507635 2714.667901 -7.888 -7.888 2.674195 0.000000 1.667 n/a n/a
24 2000.00 1331.00 100.000000 1.0000000000000000 1.000000 -1216144.635666 281.952221 37.386286 152.615105 -218.479930 2714.549899 -7.918 -7.918 2.674778 0.000000 1.678 n/a n/a
25 2000.00 1328.00 100.000000 1.0000000000000000 1.000000 -1216602.480564 281.666542 37.378143 152.614827 -218.452257 2714.430708 -7.948 -7.948 2.675360 0.000000 1.689 n/a n/a
26 2000.00 1325.00 100.000000 1.0000000000000000 1.000000 -1217060.324627 281.380326 37.370000 152.614549 -218.424615 2714.310328 -7.978 -7.978 2.675943 0.000000 1.700 n/a n/a
27 2000.00 1322.00 100.000000 1.0000000000000000 1.000000 -1217518.167857 281.093574 37.361857 152.614271 -218.397005 2714.188758 -8.008 -8.008 2.676526 0.000000 1.712 n/a n/a
28 2000.00 1319.00 100.000000 1.0000000000000000 1.000000 -1217976.010254 280.806282 37.353715 152.613994 -218.369426 2714.066000 -8.039 -8.039 2.677110 0.000000 1.723 n/a n/a
29 2000.00 1316.00 100.000000 1.0000000000000000 1.000000 -1218433.851819 280.518449 37.345573 152.613716 -218.341879 2713.942052 -8.070 -8.070 2.677694 0.000000 1.734 n/a n/a
30 2000.00 1313.00 100.000000 1.0000000000000000 1.000000 -1218891.692553 280.230072 37.337431 152.613440 -218.314363 2713.816916 -8.100 -8.100 2.678277 0.000000 1.745 n/a n/a
31 2000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1219349.532457 279.941151 37.329290 152.613163 -218.286879 2713.690590 -8.131 -8.131 2.678862 0.000000 1.756 n/a n/a
32 2000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1219807.371531 279.651681 37.321149 152.612887 -218.259426 2713.563075 -8.163 -8.163 2.679446 0.000000 1.768 n/a n/a
33 2000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1220265.209777 279.361662 37.313008 152.612611 -218.232004 2713.434371 -8.194 -8.194 2.680030 0.000000 1.779 n/a n/a
34 2000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1220723.047195 279.071092 37.304868 152.612335 -218.204614 2713.304478 -8.225 -8.225 2.680615 0.000000 1.790 n/a n/a
35 2000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1221180.883786 278.779967 37.296728 152.612059 -218.177255 2713.173396 -8.257 -8.257 2.681200 0.000000 1.802 n/a n/a
36 2000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1221638.719551 278.488287 37.288589 152.611784 -218.149928 2713.041125 -8.289 -8.289 2.681786 0.000000 1.813 n/a n/a
37 2000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1222096.554491 278.196049 37.280450 152.611509 -218.122633 2712.907664 -8.320 -8.320 2.682371 0.000000 1.825 n/a n/a
38 2000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1222554.388607 277.903250 37.272312 152.611234 -218.095368 2712.773015 -8.352 -8.352 2.682957 0.000000 1.836 n/a n/a
39 2000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1223012.221899 277.609890 37.264174 152.610960 -218.068136 2712.637176 -8.385 -8.385 2.683543 0.000000 1.848 n/a n/a
40 2000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1223470.054367 277.315964 37.256036 152.610686 -218.040934 2712.500149 -8.417 -8.417 2.684129 0.000000 1.859 n/a n/a
41 2000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1223927.886014 277.021473 37.247899 152.610412 -218.013765 2712.361932 -8.449 -8.449 2.684715 0.000000 1.871 n/a n/a
42 2000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1224385.716840 276.726412 37.239762 152.610138 -217.986626 2712.222526 -8.482 -8.482 2.685302 0.000000 1.883 n/a n/a
43 2000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1224843.546846 276.430780 37.231625 152.609865 -217.959519 2712.081931 -8.515 -8.515 2.685889 0.000000 1.895 n/a n/a
44 2000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1225301.376031 276.134575 37.223489 152.609592 -217.932444 2711.940147 -8.548 -8.548 2.686476 0.000000 1.906 n/a n/a
45 2000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1225759.204399 275.837795 37.215354 152.609319 -217.905400 2711.797174 -8.581 -8.581 2.687063 0.000000 1.918 n/a n/a
46 2000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1226217.031948 275.540436 37.207218 152.609047 -217.878387 2711.653012 -8.614 -8.614 2.687651 0.000000 1.930 n/a n/a
47 2000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1226674.858679 275.242498 37.199084 152.608775 -217.851406 2711.507660 -8.647 -8.647 2.688238 0.000000 1.942 n/a n/a
48 2000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1227132.684595 274.943977 37.190949 152.608503 -217.824457 2711.361120 -8.681 -8.681 2.688826 0.000000 1.954 n/a n/a
49 2000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1227590.509695 274.644872 37.182815 152.608231 -217.797539 2711.213390 -8.715 -8.715 2.689414 0.000000 1.966 n/a n/a
50 2000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1228048.333980 274.345180 37.174682 152.607959 -217.770652 2711.064472 -8.749 -8.749 2.690003 0.000000 1.978 n/a n/a
51 2000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1228506.157451 274.044899 37.166549 152.607688 -217.743797 2710.914364 -8.783 -8.783 2.690591 0.000000 1.991 n/a n/a
52 2000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1228963.980109 273.744027 37.158417 152.607417 -217.716973 2710.763067 -8.817 -8.817 2.691180 0.000000 2.003 n/a n/a
53 2000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1229421.801955 273.442560 37.150285 152.607147 -217.690181 2710.610581 -8.851 -8.851 2.691769 0.000000 2.015 n/a n/a
54 2000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1229879.622989 273.140498 37.142153 152.606876 -217.663420 2710.456906 -8.886 -8.886 2.692359 0.000000 2.027 n/a n/a
55 2000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1230337.443212 272.837836 37.134022 152.606606 -217.636691 2710.302042 -8.920 -8.920 2.692948 0.000000 2.040 n/a n/a
56 2000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1230795.262625 272.534574 37.125891 152.606336 -217.609993 2710.145988 -8.955 -8.955 2.693538 0.000000 2.052 n/a n/a
57 2000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1231253.081229 272.230709 37.117761 152.606067 -217.583327 2709.988746 -8.990 -8.990 2.694128 0.000000 2.065 n/a n/a
58 2000.00 1229.00 100.000000 0.9965703980483029 0.996549 -1231828.050540 271.848269 37.105032 152.511611 -216.946930 2705.426309 -9.025 -9.025 2.695111 2.678036 2.073 n/a n/a
59 2000.00 1230.00 100.000000 1.0000000000000000 1.000000 -1231558.293183 272.027796 37.112341 152.605887 -217.565567 2709.883257 -9.014 -9.014 2.694521 0.000000 2.073 n/a n/a
60 2000.00 1229.00 100.000000 0.9965703979736031 0.996549 -1231828.050542 271.848269 37.105032 152.511611 -216.946930 2705.426309 -9.025 -9.025 2.695111 2.678036 2.073 n/a n/a
61 2000.00 1229.10 100.000000 0.9969987602932752 0.996980 -1231798.167773 271.868162 37.105878 152.523384 -217.024027 2705.981527 -9.024 -9.024 2.695042 2.678055 2.073 n/a n/a
62 2000.00 1229.20 100.000000 0.9974274284152826 0.997411 -1231768.271642 271.888062 37.106724 152.535165 -217.101165 2706.537178 -9.023 -9.023 2.694973 2.678074 2.073 n/a n/a
