P(GPa)(System_main),T(K)(System_main),rho(g/cm^3)(System_main),mass (gm)(System_main),VS(km/s)(System_main),VP(km/s)(System_main),H(kJ/g)(System_main),cp(J/g/K)(System_main),S(J/g/K)(System_main),KS(GPa)(System_main),alpha(1e5_K^-1)(System_main),SiO2(Bulk_comp),MgO(Bulk_comp),FeO(Bulk_comp),Fe2O3(Bulk_comp),CaO(Bulk_comp),Al2O3(Bulk_comp),Na2O(Bulk_comp),Cr2O3(Bulk_comp),Si(Bulk_comp_elements),Mg(Bulk_comp_elements),Fe(Bulk_comp_elements),Ca(Bulk_comp_elements),Al(Bulk_comp_elements),Na(Bulk_comp_elements),Cr(Bulk_comp_elements),O(Bulk_comp_elements),anorthite(plagioclase),albite(plagioclase),rho (gm/cc)(plagioclase),V (cc)(plagioclase),spinel(spinel),hercynite(spinel),magnetite(spinel),picro-chromite(spinel),rho (gm/cc)(spinel),V (cc)(spinel),enstatite(orthopyroxene),ferrosilite(orthopyroxene),mg-tschermaks(orthopyroxene),ortho-diopside(orthopyroxene),rho (gm/cc)(orthopyroxene),V (cc)(orthopyroxene),diopside(clinopyroxene),hedenbergite(clinopyroxene),clinoenstatite(clinopyroxene),ca-tschermaks(clinopyroxene),jadeite(clinopyroxene),acmite(clinopyroxene),rho (gm/cc)(clinopyroxene),V (cc)(clinopyroxene),hp-clinoenstatite(hp-clinopyroxene),hp-clinoferrosilite(hp-clinopyroxene),rho (gm/cc)(hp-clinopyroxene),V (cc)(hp-clinopyroxene),wollastonite(wollastonite),rho (gm/cc)(wollastonite),V (cc)(wollastonite),pseudowollastonite(pseudowollastonite),rho (gm/cc)(pseudowollastonite),V (cc)(pseudowollastonite),pyrope(garnet),almandine(garnet),grossular(garnet),mg-majorite(garnet),na-majorite(garnet),andradite(garnet),knorringite(garnet),rho (gm/cc)(garnet),V (cc)(garnet),ca-perovskite(ca-perovskite),rho (gm/cc)(ca-perovskite),V (cc)(ca-perovskite),forsterite(olivine),fayalite(olivine),rho (gm/cc)(olivine),V (cc)(olivine),mg-wadsleyite(wadsleyite),fe-wadsleyite(wadsleyite),rho (gm/cc)(wadsleyite),V (cc)(wadsleyite),mg-ringwoodite(ringwoodite),fe-ringwoodite(ringwoodite),rho (gm/cc)(ringwoodite),V (cc)(ringwoodite),mg-akimotoite(akimotoite),fe-akimotoite(akimotoite),corundum(akimotoite),hematite(akimotoite),eskolaite(akimotoite),rho (gm/cc)(akimotoite),V (cc)(akimotoite),mg-bridgmanite(bridgmanite),fe-bridgmanite(bridgmanite),al-bridgmanite(bridgmanite),ferric-bridgmanite(bridgmanite),ferric-bridgmanite-ls(bridgmanite),ferric-al-bridgmanite(bridgmanite),cr-bridgmanite(bridgmanite),rho (gm/cc)(bridgmanite),V (cc)(bridgmanite),mg-post-perovskite(post-perovskite),fe-post-perovskite(post-perovskite),al-post-perovskite(post-perovskite),ferric-post-perovskite(post-perovskite),cr-post-perovskite(post-perovskite),rho (gm/cc)(post-perovskite),V (cc)(post-perovskite),mg-ca-ferrite(ca-ferrite),fe-ca-ferrite(ca-ferrite),na-ca-ferrite(ca-ferrite),high-pressure-magnetite(ca-ferrite),cr-ca-ferrite(ca-ferrite),rho (gm/cc)(ca-ferrite),V (cc)(ca-ferrite),mg-nal-phase(nal-phase),fe-nal-phase(nal-phase),na-nal-phase(nal-phase),rho (gm/cc)(nal-phase),V (cc)(nal-phase),periclase(ferropericlase),wustite(ferropericlase),wustite-ls(ferropericlase),alpha-naalo2(ferropericlase),magnetite(ferropericlase),rho (gm/cc)(ferropericlase),V (cc)(ferropericlase),quartz(quartz),rho (gm/cc)(quartz),V (cc)(quartz),coesite(coesite),rho (gm/cc)(coesite),V (cc)(coesite),stishovite(stishovite),rho (gm/cc)(stishovite),V (cc)(stishovite),alpha-pbo-type-sio2(alpha-pbo-type-sio2),rho (gm/cc)(alpha-pbo-type-sio2),V (cc)(alpha-pbo-type-sio2),kyanite(kyanite),rho (gm/cc)(kyanite),V (cc)(kyanite),nepheline(nepheline),rho (gm/cc)(nepheline),V (cc)(nepheline),alpha-iron(alpha-iron),rho (gm/cc)(alpha-iron),V (cc)(alpha-iron),gamma-iron(gamma-iron),rho (gm/cc)(gamma-iron),V (cc)(gamma-iron),epsilon-iron(epsilon-iron),rho (gm/cc)(epsilon-iron),V (cc)(epsilon-iron)
0.0,1173.0,2.81962245947713,513.906943731,3.6761790052973855,6.685763681549769,-12.366448009811569,1.166344196418244,2.141844732557688,67.34599316725671,2.0612640362625454,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68901284,0.44912337,2.65595,102.37454,-0.0,0.00507881,0.00028312,0.01353,4.29715,43.72901,-0.0,-0.0,-0.0,-0.0,3.36151,65.71008,0.14608658,0.04834907,0.00476878,0.00123152,0.00610031,0.00018633,3.27833,68.07159,0.0,-0.0,3.60354,64.46973,-0.0,2.82341,41.14315,-0.0,2.7999,41.48865,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.66768,121.40538,-0.0,4.10198,28.31902,0.26758293,0.22537508,3.67832,46.09049,-0.0,-0.0,4.02595,42.78147,-0.0,-0.0,4.14051,41.59752,-0.0,-0.0,0.0,0.0,-0.0,4.57482,28.23979,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.87509,27.44192,0.0,0.0,-0.0,0.0,-0.0,4.86829,26.53741,-0.0,-0.0,0.0,0.0,-0.0,4.48039,39.36931,-0.0,-0.0,0.0,3.93825,113.62189,-0.0,-0.0,-0.0,0.0,0.0,4.81595,46.98749,1.18456258,2.53063,23.74309,0.0,2.88519,20.82532,0.0,4.19282,14.33044,0.0,4.30443,13.95887,-0.0,3.58687,45.17741,0.0,2.50457,56.71805,-0.0,0.0,0.0,0.00035628,0.0,0.0,-0.0,0.0,0.0
0.0,1198.0,2.818168325222056,513.906943731,3.6686634366775994,6.677044072912143,-12.337266733574092,1.16815349075704,2.1664607671084184,67.18040881022657,2.0654544661235135,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68877993,0.44907805,2.65443,102.43279,-0.0,0.00512782,0.00030241,0.01353,4.29462,43.75656,-0.0,-0.0,-0.0,-0.0,3.35817,65.77527,0.14513649,0.04933852,0.00525555,0.00142506,0.00612632,0.00020562,3.27692,68.12836,0.0,-0.0,3.59948,64.54254,-0.0,2.82062,41.18389,-0.0,2.79723,41.52825,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.66482,121.50004,-0.0,4.09782,28.34773,0.26757121,0.2248028,3.67415,46.13213,-0.0,-0.0,4.02236,42.81959,-0.0,-0.0,4.13744,41.62845,-0.0,-0.0,0.0,0.0,-0.0,4.57129,28.26161,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.87096,27.4652,0.0,0.0,-0.0,0.0,-0.0,4.86307,26.5659,-0.0,-0.0,0.0,0.0,-0.0,4.47586,39.40915,-0.0,-0.0,0.0,3.93458,113.72789,-0.0,-0.0,-0.0,0.0,0.0,4.81086,47.03727,1.18441191,2.53075,23.74196,0.0,2.88446,20.8306,0.0,4.1896,14.34148,0.0,4.3013,13.96905,-0.0,3.58438,45.20882,0.0,2.50154,56.78676,-0.0,0.0,0.0,0.00038522,0.0,0.0,-0.0,0.0,0.0
0.0,1223.0,2.8167121741716383,513.906943731,3.6611299338289367,6.66829045093634,-12.308040687701087,1.16992713491175,2.1906053724174277,67.00416915773963,2.069113746991037,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68852443,0.44903889,2.65291,102.4913,-0.0,0.0051779,0.00032229,0.01353,4.29208,43.78441,-0.0,-0.0,-0.0,-0.0,3.3548,65.84145,0.14420089,0.05031381,0.00577846,0.00164087,0.0061447,0.00022641,3.27544,68.18459,0.0,-0.0,3.59539,64.61589,-0.0,2.81781,41.22488,-0.0,2.79455,41.56808,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.66195,121.59529,-0.0,4.09365,28.3766,0.2675161,0.22423477,3.67001,46.1743,-0.0,-0.0,4.01876,42.85803,-0.0,-0.0,4.13434,41.6596,-0.0,-0.0,0.0,0.0,-0.0,4.56773,28.28361,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.86681,27.4886,0.0,0.0,-0.0,0.0,-0.0,4.85781,26.59466,-0.0,-0.0,0.0,0.0,-0.0,4.47131,39.44922,-0.0,-0.0,0.0,3.93089,113.83457,-0.0,-0.0,-0.0,0.0,0.0,4.80573,47.08744,1.1842442,2.53087,23.74083,0.0,2.88373,20.83589,0.0,4.18635,14.3526,0.0,4.29814,13.97931,-0.0,3.58188,45.24038,0.0,2.49849,56.85597,-0.0,0.0,0.0,0.00041549,0.0,0.0,-0.0,0.0,0.0
0.0,1248.0,2.8152543930551426,513.906943731,3.653579334961084,6.659503457949487,-12.278770693581967,1.171670609823401,2.214296964129149,66.81674066981189,2.0722154708588887,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68824467,0.44900583,2.65137,102.55007,-0.0,0.00522914,0.00034274,0.01353,4.28953,43.81256,-0.0,-0.0,-0.0,-0.0,3.35138,65.90867,0.14327771,0.05127703,0.00633974,0.00188059,0.00615537,0.0002488,3.2739,68.24024,0.0,-0.0,3.59128,64.6898,-0.0,2.815,41.26612,-0.0,2.79186,41.60813,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.65907,121.69111,-0.0,4.08947,28.40564,0.26741641,0.22366983,3.66589,46.21702,-0.0,-0.0,4.01512,42.8968,-0.0,-0.0,4.13123,41.69098,-0.0,-0.0,0.0,0.0,-0.0,4.56415,28.30579,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.86265,27.51213,0.0,0.0,-0.0,0.0,-0.0,4.85252,26.62369,-0.0,-0.0,0.0,0.0,-0.0,4.46675,39.48953,-0.0,-0.0,0.0,3.92719,113.94193,-0.0,-0.0,-0.0,0.0,0.0,4.80057,47.13801,1.18405905,2.53099,23.7397,0.0,2.88299,20.84118,0.0,4.18308,14.36382,0.0,4.29496,13.98966,-0.0,3.57937,45.27209,0.0,2.49543,56.9257,-0.0,0.0,0.0,0.00044714,0.0,0.0,-0.0,0.0,0.0
0.0,1273.0,2.81379538863025,513.906943731,3.646012488089653,6.650683759255693,-12.249457439993298,1.1733889905883923,2.2375529672382086,66.61753453644539,2.074730042630041,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68793896,0.44897873,2.64984,102.60909,-0.0,0.00528159,0.00036377,0.01353,4.28695,43.84101,-0.0,-0.0,-0.0,-0.0,3.34791,65.97697,0.14236478,0.05223034,0.00694183,0.00214592,0.00615833,0.00027294,3.2723,68.29529,0.0,0.0,3.58715,64.76427,-0.0,2.81217,41.30762,-0.0,2.78916,41.64841,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.65617,121.78752,-0.0,4.08527,28.43485,0.26727078,0.2231068,3.66179,46.26028,-0.0,-0.0,4.01147,42.93589,-0.0,-0.0,4.1281,41.7226,-0.0,-0.0,0.0,0.0,-0.0,4.56055,28.32814,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.85848,27.53577,0.0,0.0,-0.0,0.0,-0.0,4.84718,26.65299,-0.0,-0.0,0.0,0.0,-0.0,4.46217,39.53007,-0.0,-0.0,0.0,3.92347,114.04998,-0.0,-0.0,-0.0,0.0,0.0,4.79539,47.18898,1.18385595,2.53111,23.73856,0.0,2.88226,20.84649,0.0,4.17979,14.37513,0.0,4.29176,14.00008,-0.0,3.57685,45.30396,0.0,2.49236,56.99595,-0.0,0.0,0.0,0.00048024,0.0,0.0,-0.0,0.0,0.0
0.0,1298.0,2.8123355858212973,513.906943731,3.6384302589534343,6.641832030360641,-12.220101497117469,1.1750869991168231,2.260389882286556,66.40591110992716,2.0766250398822894,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68760549,0.44895748,2.64829,102.66837,-0.0,0.00533534,0.00038535,0.01353,4.28436,43.86976,-0.0,-0.0,-0.0,-0.0,3.34439,66.04636,0.14146,0.05317586,0.00758735,0.00243865,0.00615356,0.00029896,3.27064,68.34969,0.0,0.0,3.583,64.83929,-0.0,2.80933,41.34936,-0.0,2.78645,41.68892,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.65326,121.88451,-0.0,4.08105,28.46422,0.26707765,0.22254447,3.65771,46.30411,-0.0,-0.0,4.00779,42.97531,-0.0,-0.0,4.12495,41.75446,-0.0,-0.0,0.0,0.0,-0.0,4.55693,28.35067,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.85429,27.55953,0.0,0.0,-0.0,0.0,-0.0,4.84181,26.68257,-0.0,-0.0,0.0,0.0,-0.0,4.45757,39.57085,-0.0,-0.0,0.0,3.91973,114.15871,-0.0,-0.0,-0.0,0.0,0.0,4.79017,47.24036,1.18363435,2.53123,23.73743,0.0,2.88152,20.85181,0.0,4.17647,14.38654,0.0,4.28854,14.01059,-0.0,3.57433,45.33599,0.0,2.48927,57.06672,-0.0,0.0,0.0,0.00051483,0.0,0.0,-0.0,0.0,0.0
0.0,1323.0,2.8108754391311135,513.906943731,3.630833539348005,6.632948994396063,-12.190703316456366,1.1767690475271646,2.2828233559716486,66.18117075256386,2.077865211894855,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68724245,0.44894186,2.64674,102.72791,-0.0,0.00539048,0.00040749,0.01353,4.28174,43.8988,-0.0,-0.0,-0.0,-0.0,3.34082,66.11689,0.1405611,0.05411586,0.00827915,0.00276059,0.00614109,0.00032705,3.26892,68.40341,0.0,0.0,3.57883,64.91489,-0.0,2.80648,41.39137,-0.0,2.78373,41.72965,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.65034,121.9821,-0.0,4.07682,28.49377,0.26683529,0.22198157,3.65366,46.34851,-0.0,-0.0,4.00408,43.01507,-0.0,-0.0,4.12178,41.78655,-0.0,-0.0,0.0,0.0,-0.0,4.55328,28.37338,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.85008,27.58342,0.0,0.0,-0.0,0.0,-0.0,4.8364,26.71244,-0.0,-0.0,0.0,0.0,-0.0,4.45295,39.61187,-0.0,-0.0,0.0,3.91598,114.26813,-0.0,-0.0,-0.0,0.0,0.0,4.78493,47.29216,1.18339356,2.53135,23.7363,0.0,2.88079,20.85714,0.0,4.17314,14.39804,0.0,4.2853,14.02118,-0.0,3.57179,45.36816,0.0,2.48616,57.13801,-0.0,0.0,0.0,0.00055101,0.0,0.0,-0.0,0.0,0.0
0.0,1348.0,2.8094154147510424,513.906943731,3.623223226184896,6.624035379095339,-12.1612632479807,1.1784392613171568,2.304868232249321,65.94259109874503,2.078413792970039,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68684797,0.44893166,2.64518,102.78771,-0.0,0.00544709,0.00043017,0.01353,4.2791,43.92814,-0.0,-0.0,-0.0,-0.0,3.3372,66.1886,0.13966577,0.05505264,0.00902031,0.00311362,0.00612097,0.00035737,3.26714,68.45641,0.0,0.0,3.57464,64.99105,-0.0,2.80362,41.43363,-0.0,2.781,41.77062,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.6474,122.08028,-0.0,4.07257,28.52348,0.26654181,0.22141677,3.64963,46.39349,-0.0,-0.0,4.00036,43.05518,-0.0,-0.0,4.11859,41.81889,-0.0,-0.0,0.0,0.0,-0.0,4.54961,28.39627,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.84587,27.60742,0.0,0.0,-0.0,0.0,-0.0,4.83094,26.7426,-0.0,-0.0,0.0,0.0,-0.0,4.44832,39.65312,-0.0,-0.0,0.0,3.91221,114.37824,-0.0,-0.0,-0.0,0.0,0.0,4.77965,47.34439,1.18313277,2.53148,23.73517,0.0,2.88005,20.86248,0.0,4.16978,14.40963,0.0,4.28204,14.03185,-0.0,3.56925,45.40049,0.0,2.48304,57.20985,-0.0,0.0,0.0,0.00058886,0.0,0.0,-0.0,0.0,0.0
0.0,1373.0,2.807956015939088,513.906943731,3.615600261513812,6.615091971735668,-12.131781536242812,1.1801015384626588,2.326538614208697,65.68938950977551,2.0782316949073443,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68642012,0.44892658,2.64361,102.84779,-0.0,0.00550525,0.0004534,0.01353,4.27644,43.95777,-0.0,-0.0,-0.0,-0.0,3.33353,66.26153,0.1387716,0.05598858,0.00981415,0.00349969,0.00609329,0.00039013,3.26532,68.50865,0.0,0.0,3.57042,65.0678,-0.0,2.80074,41.47615,-0.0,2.77826,41.81181,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.64446,122.17905,-0.0,4.06831,28.55337,0.26619505,0.22084869,3.64562,46.43906,-0.0,-0.0,3.9966,43.09563,-0.0,-0.0,4.11539,41.85147,-0.0,-0.0,0.0,0.0,-0.0,4.54591,28.41935,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.84163,27.63155,0.0,0.0,-0.0,0.0,-0.0,4.82545,26.77305,-0.0,-0.0,0.0,0.0,-0.0,4.44367,39.69462,-0.0,-0.0,0.0,3.90842,114.48905,-0.0,-0.0,-0.0,0.0,0.0,4.77434,47.39705,1.18285107,2.5316,23.73404,0.0,2.87931,20.86783,0.0,4.1664,14.42132,0.0,4.27876,14.04261,-0.0,3.5667,45.43297,0.0,2.4799,57.28222,-0.0,0.0,0.0,0.00062846,0.0,0.0,-0.0,0.0,0.0
0.0,1398.0,2.8064977735840126,513.906943731,3.607965617612793,6.6061196071243184,-12.102258334654186,1.1817595521366209,2.347847907228611,65.42075431914398,2.0772794759105815,56.296907249114476,5.523800632446606,7.067290637546003,0.0006214665980312467,9.65360652102187,18.311418742915006,2.7461986253852366,0.40015612497277725,4.81513,0.70432,0.50557,0.88468,1.84587,0.45541,0.02706,14.76195,0.68595691,0.44892627,2.64203,102.90813,-0.0,0.00556507,0.00047716,0.01353,4.27374,43.9877,-0.0,-0.0,-0.0,-0.0,3.3298,66.33573,0.13787611,0.05692619,0.01066428,0.00392079,0.00605819,0.00042554,3.26344,68.56008,0.0,0.0,3.56618,65.14512,-0.0,2.79786,41.51894,-0.0,2.77551,41.85325,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.64149,122.27843,-0.0,4.06403,28.58342,0.26579266,0.2202759,3.64164,46.48524,-0.0,-0.0,3.99282,43.13643,-0.0,-0.0,4.11216,41.8843,-0.0,-0.0,0.0,0.0,-0.0,4.54219,28.44263,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,4.83739,27.65579,0.0,0.0,-0.0,0.0,-0.0,4.81991,26.80381,-0.0,-0.0,0.0,0.0,-0.0,4.439,39.73637,-0.0,-0.0,0.0,3.90462,114.60057,-0.0,-0.0,-0.0,0.0,0.0,4.76899,47.45015,1.18254739,2.53172,23.73291,0.0,2.87857,20.87319,0.0,4.163,14.4331,0.0,4.27546,14.05346,-0.0,3.56414,45.4656,0.0,2.47675,57.35514,-0.0,0.0,0.0,0.00066993,0.0,0.0,-0.0,0.0,0.0
