Batch Size,GPU Emulator,CPU Emulator,GPU Properties (isomorphic),GPU Properties (metamorphic),GPU Properties (+fast),CPU Properties (isomorphic),CPU Properties (metamorphic),CPU Properties (+fast)
16,0.0,0.009042024612426758,0.0,0.0,0.0,0.09362006187438965,0.11097073554992676,0.11350131034851074
32,0.0,0.008584737777709961,0.0,0.0,0.0,0.08567237854003906,0.10730481147766113,0.10839319229125977
64,0.0,0.01126718521118164,0.0,0.0,0.0,0.08714151382446289,0.12069201469421387,0.13900351524353027
128,0.0,0.017589807510375977,0.0,0.0,0.0,0.10060548782348633,0.14552688598632812,0.15239930152893066
256,0.0,0.05995321273803711,0.0,0.0,0.0,0.11739945411682129,0.17784738540649414,0.22274088859558105
512,0.0,0.03525042533874512,0.0,0.0,0.0,0.16020941734313965,0.306260347366333,0.3815948963165283
1024,0.0,0.06032276153564453,0.0,0.0,0.0,0.27438950538635254,0.5216047763824463,0.7124960422515869
2048,0.0,0.17378711700439453,0.0,0.0,0.0,0.43890810012817383,1.102609395980835,1.3307116031646729
4096,0.0,0.2181556224822998,0.0,0.0,0.0,0.9761190414428711,2.525496482849121,3.2355093955993652
8192,0.5682170391082764,0.4346179962158203,2.2361717224121094,5.729211807250977,8.224202156066895,2.939321756362915,6.3075456619262695,8.485219240188599
16384,0.5701580047607422,0.9746463298797607,3.8467912673950195,10.472444295883179,19.345337390899658,6.294399976730347,12.093149662017822,17.43459701538086
32768,1.0284755229949951,1.9163649082183838,5.923095226287842,21.526617765426636,37.01177430152893,12.421303987503052,21.617934465408325,31.29971694946289
65536,2.595309019088745,3.3109705448150635,9.876255512237549,42.74682331085205,56.98214650154114,22.66111993789673,45.98023796081543,59.6700553894043
131072,3.6479015350341797,6.4097044467926025,11.329525709152222,66.94403219223022,106.84088325500488,41.344923973083496,84.4746208190918,117.92114734649658
262144,6.664477109909058,12.997605085372925,16.155052661895752,112.59126996994019,202.51639986038208,80.65790581703186,170.5006718635559,238.736070394516
