Depth km,Temperature (K)
0,1599.99994
36.28228,1609.35812
66.34476,1629.31105
96.41489,1647.4439
126.47625,1662.8081
156.54183,1676.61992
186.6054,1689.37926
216.66896,1701.29226
246.00169,1712.45633
275.15035,1722.91263
304.12654,1732.65665
332.889,1745.58967
361.53749,1753.8337
389.98609,1759.67272
417.29753,1796.54188
443.99125,1803.83469
470.32792,1811.34446
496.56087,1820.20364
522.40358,1839.59962
548.18742,1862.27657
573.57014,1870.02868
598.92253,1879.92266
624.04227,1893.63412
649.12026,1921.67001
673.78483,1901.7905
696.50299,1911.02627
719.22116,1919.10889
741.8115,1928.01018
764.39099,1936.81819
786.82469,1945.53544
809.19806,1954.16435
831.57144,1962.70727
853.94481,1971.16645
876.25551,1979.544
898.36522,1987.84202
920.47493,1996.06265
942.58464,2004.20781
964.69435,2012.27938
986.62271,2020.27921
1008.47872,2028.20914
1030.33473,2036.07084
1052.19073,2043.86583
1074.01237,2051.59606
1095.62184,2059.2631
1117.2313,2066.86824
1138.84077,2074.41332
1160.45023,2081.89963
1181.93728,2089.32859
1203.30755,2096.70176
1224.67783,2104.02045
1246.0481,2111.286
1267.41837,2118.49974
1288.59275,2125.66293
1309.72768,2132.77687
1330.86262,2139.84275
1351.99755,2146.86182
1373.10913,2153.83594
1394.01259,2160.76481
1414.91605,2167.64949
1435.81951,2174.4924
1456.72297,2181.29419
1477.5534,2188.05579
1498.2265,2194.77808
1518.8996,2201.46345
1539.5727,2208.95063
1560.2458,2215.56091
1580.8084,2222.13475
1601.25118,2228.67305
1621.69397,2235.17665
1642.13676,2241.6464
1662.57955,2248.08309
1682.88578,2254.48751
1703.09638,2260.86041
1723.30698,2267.20254
1743.51758,2273.5146
1763.72818,2279.79732
1783.78811,2286.05125
1803.76336,2292.27713
1823.73861,2298.47555
1843.71386,2304.64709
1863.68911,2310.79233
1883.51189,2316.91182
1903.24666,2323.00607
1922.98143,2329.0756
1942.71619,2335.12088
1962.45096,2341.14237
1982.04577,2347.14051
2001.53363,2353.11571
2021.02148,2359.06839
2040.50934,2364.9989
2059.99719,2370.90762
2079.37392,2376.79487
2098.60653,2382.661
2117.83915,2388.50632
2137.07176,2394.33378
2156.30438,2400.13554
2175.47443,2405.92002
2194.44184,2411.68473
2213.40925,2417.43252
2232.37665,2423.15814
2251.34406,2428.86312
2270.31147,2434.55085
2289.01274,2440.21985
2307.70399,2445.87029
2326.39524,2451.50238
2345.08649,2457.11631
2363.77773,2462.71208
2382.29127,2468.2903
2400.69289,2473.8481
2419.09451,2479.39136
2437.49614,2484.91534
2455.89776,2490.42143
2474.24475,2495.91125
2492.3417,2501.38217
2510.43864,2506.83756
2528.53558,2512.27049
2546.63253,2517.6898
2564.72947,2523.0919
2582.617,2528.47833
2600.3935,2533.8447
2618.17,2539.19551
2635.9465,2544.52946
2653.723,2554.65737
2671.49146,2571.38227
2688.98186,2591.1544
2706.47225,2613.10772
2723.96264,2634.73955
2741.44849,2639.83893
2758.76354,2644.92071
2776.00929,2649.9847
2793.0881,2655.03059
2810.16691,2660.05963
2827.24572,2665.071
2844.32452,2670.06514
2861.40333,2675.04209
2878.36916,2680.00201
2895.19009,2684.94502
2912.01101,2689.87125
2928.83193,2694.78046
2945.65286,2699.67276
2962.47378,2704.54809
