D,P (kb)
2891,1357.509
2891,1345.619
2771,1287.067
2741,1269.747
2741,1269.741
2671,1229.719
2571,1173.465
2471,1118.207
2371,1063.864
2271,1010.363
2171,957.641
2071,905.646
1971,854.332
1871,803.66
1771,753.598
1671,704.119
1571,655.202
1471,606.83
1371,558.991
1271,511.676
1171,464.882
1071,418.606
971,372.852
871,327.623
771,282.928
771,282.927
721,260.783
670,238.342
635,224.364
600,210.426
600,210.425
550,190.703
500,171.311
450,152.251
400,133.527
400,133.52
355,117.702
310,102.027
265,85.497
220,71.115
220,71.108
185,59.466
150,47.824
115,36.183
80,24.546
80,24.539
60,17.891
40,11.239
24.4,6.043
24.4,6.04
15,3.37
15,3.364
3,0.303
3,0.299
0,0
