Unnamed: 0,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Fe2O3
tephroite : olivine,1,0,0,0,0,0,0,0,0,1,0,0,0,0
fayalite : olivine,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ni-olivine : olivine,1,0,0,0,0,0,0,0,0,0,0,0,1,0
monticellite : olivine,1,0,0,0,1,1,0,0,0,0,0,0,0,0
forsterite : olivine,1,0,0,0,1,0,0,0,0,0,0,0,0,0
gC : orthopyroxene,1,0,0,0,1,1,0,0,0,0,0,0,0,0
g0 : orthopyroxene,1,0,0,1,1,1,0,0,0,0,0,0,0,0
g1 : orthopyroxene,1,1,0,0,1,1,0,0,0,0,0,0,0,0
g2 : orthopyroxene,1,0,1,0,1,1,0,0,0,0,0,0,0,0
g3 : orthopyroxene,1,0,0,0,1,1,0,0,0,0,0,0,0,1
g4 : orthopyroxene,1,0,1,0,1,1,1,0,0,0,0,0,0,0
g5 : orthopyroxene,1,0,1,0,1,1,1,0,0,0,0,0,0,0
gC : clinopyroxene,1,0,0,0,1,1,0,0,0,0,0,0,0,0
g0 : clinopyroxene,1,0,0,1,1,1,0,0,0,0,0,0,0,0
g1 : clinopyroxene,1,1,0,0,1,1,0,0,0,0,0,0,0,0
g2 : clinopyroxene,1,0,1,0,1,1,0,0,0,0,0,0,0,0
g3 : clinopyroxene,1,0,0,0,1,1,0,0,0,0,0,0,0,1
g4 : clinopyroxene,1,0,1,0,1,1,1,0,0,0,0,0,0,0
g5 : clinopyroxene,1,0,1,0,1,1,1,0,0,0,0,0,0,0
Chromite: spinel,0,0,0,1,0,0,0,0,0,0,1,0,0,0
g0 : spinel,0,0,1,1,0,0,0,0,0,0,0,0,0,0
g1 : spinel,0,0,1,1,0,0,0,0,0,0,0,0,0,1
g2 : spinel,0,0,1,1,1,0,0,0,0,0,0,0,0,0
g3 : spinel,0,1,1,1,0,0,0,0,0,0,0,0,0,0
albite : plagioclase,1,0,1,0,0,0,1,0,0,0,0,0,0,0
anorthite : plagioclase,1,0,1,0,0,1,0,0,0,0,0,0,0,0
highsanidine : plagioclase,1,0,1,0,0,0,0,1,0,0,0,0,0,0
albite : k-feldspar,1,0,1,0,0,0,1,0,0,0,0,0,0,0
anorthite : k-feldspar,1,0,1,0,0,1,0,0,0,0,0,0,0,0
sanidine : k-feldspar,1,0,1,0,0,0,0,1,0,0,0,0,0,0
almandine : garnet,1,0,1,1,0,0,0,0,0,0,0,0,0,0
grossular : garnet,1,0,1,0,0,1,0,0,0,0,0,0,0,0
pyrope : garnet,1,0,1,0,1,0,0,0,0,0,0,0,0,0
na-nepheline : nepheline,1,0,1,0,0,0,1,0,0,0,0,0,0,0
k-nepheline : nepheline,1,0,1,0,0,0,0,1,0,0,0,0,0,0
vc-nepheline : nepheline,1,0,1,0,0,0,1,0,0,0,0,0,0,0
ca-nepheline : nepheline,1,0,1,0,0,1,1,0,0,0,0,0,0,0
leucite : leucite,1,0,1,0,0,0,0,1,0,0,0,0,0,0
analcime : leucite,1,0,1,0,0,0,1,0,0,1,0,0,0,0
na-leucite : leucite,1,0,1,0,0,0,1,0,0,0,0,0,0,0
annite : biotite,1,0,1,1,0,0,0,1,0,1,0,0,0,0
phlogopite : biotite,1,0,1,0,1,0,0,1,0,1,0,0,0,0
geikielite : rhm-oxide,0,1,0,0,1,0,0,0,0,0,0,0,0,0
hematite : rhm-oxide,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ilmenite : rhm-oxide,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pyrophanite : rhm-oxide,0,1,0,0,0,0,0,0,0,1,0,0,0,0
corundum : rhm-oxide,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fe-metal : alloy-solid,0,0,0,1,0,0,0,0,0,0,0,1,0,0
leucite : analcime,1,0,1,0,0,0,0,1,0,0,0,0,0,0
analcime : analcime,1,0,1,0,0,0,1,0,0,1,0,0,0,0
na-leucite : analcime,1,0,1,0,0,0,1,0,0,0,0,0,0,0
apatite,0,0,0,0,0,1,0,0,1,0,1,0,0,0
whitlockite,0,0,0,0,0,1,0,0,1,0,0,0,0,0
quartz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tridymite,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cristobalite,1,0,0,0,0,0,0,0,0,0,0,0,0,0
muscovite,1,0,1,0,0,0,0,1,0,1,0,0,0,0
water,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Si,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Al,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fe,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mg,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ca,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Na,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mn,0,0,0,0,0,0,0,0,0,1,0,0,0,0
H,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cr,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ni,0,0,0,0,0,0,0,0,0,0,0,1,0,0
