Pressure(System_main),Temperature(System_main),logfO2-QFM(System_main),mass(System_main),F(System_main),viscosity(System_main),H(System_main),Cp(System_main),S(System_main),V(System_main),dVdP*10^6(System_main),dVdT*10^6(System_main),mass (gm)(olivine),forsterite(olivine),fayalite(olivine),monticellite(olivine),tephroite(olivine),ni-olivine(olivine),rho (gm/cc)(olivine),H (kJ)(olivine),S (J/K)(olivine),V (cc)(olivine),mass (gm)(orthopyroxene),diopside(orthopyroxene),clinoenstatite(orthopyroxene),hedenbergite(orthopyroxene),alumino-buffonite(orthopyroxene),buffonite(orthopyroxene),essenite(orthopyroxene),jadeite(orthopyroxene),rho (gm/cc)(orthopyroxene),H (kJ)(orthopyroxene),S (J/K)(orthopyroxene),V (cc)(orthopyroxene),mass (gm)(clinopyroxene),diopside(clinopyroxene),clinoenstatite(clinopyroxene),hedenbergite(clinopyroxene),alumino-buffonite(clinopyroxene),buffonite(clinopyroxene),essenite(clinopyroxene),jadeite(clinopyroxene),rho (gm/cc)(clinopyroxene),H (kJ)(clinopyroxene),S (J/K)(clinopyroxene),V (cc)(clinopyroxene),mass (gm)(spinel),chromite(spinel),hercynite(spinel),magnetite(spinel),spinel(spinel),ulvospinel(spinel),rho (gm/cc)(spinel),H (kJ)(spinel),S (J/K)(spinel),V (cc)(spinel),mass (gm)(plagioclase),albite(plagioclase),anorthite(plagioclase),sanidine(plagioclase),rho (gm/cc)(plagioclase),H (kJ)(plagioclase),S (J/K)(plagioclase),V (cc)(plagioclase),mass (gm)(k-feldspar),albite(k-feldspar),anorthite(k-feldspar),sanidine(k-feldspar),rho (gm/cc)(k-feldspar),H (kJ)(k-feldspar),S (J/K)(k-feldspar),V (cc)(k-feldspar),mass (gm)(garnet),almandine(garnet),grossular(garnet),pyrope(garnet),rho (gm/cc)(garnet),H (kJ)(garnet),S (J/K)(garnet),V (cc)(garnet),mass (gm)(nepheline),na-nepheline(nepheline),k-nepheline(nepheline),vc-nepheline(nepheline),ca-nepheline(nepheline),rho (gm/cc)(nepheline),H (kJ)(nepheline),S (J/K)(nepheline),V (cc)(nepheline),mass (gm)(leucite),leucite(leucite),analcime(leucite),na-leucite(leucite),rho (gm/cc)(leucite),H (kJ)(leucite),S (J/K)(leucite),V (cc)(leucite),mass (gm)(analcime),leucite(analcime),analcime(analcime),na-leucite(analcime),rho (gm/cc)(analcime),H (kJ)(analcime),S (J/K)(analcime),V (cc)(analcime),mass (gm)(biotite),annite(biotite),phlogopite(biotite),rho (gm/cc)(biotite),H (kJ)(biotite),S (J/K)(biotite),V (cc)(biotite),mass (gm)(rhm-oxide),geikielite(rhm-oxide),hematite(rhm-oxide),ilmenite(rhm-oxide),pyrophanite(rhm-oxide),corundum(rhm-oxide),rho (gm/cc)(rhm-oxide),H (kJ)(rhm-oxide),S (J/K)(rhm-oxide),V (cc)(rhm-oxide),mass (gm)(alloy-solid),Fe-metal(alloy-solid),Ni-metal(alloy-solid),rho (gm/cc)(alloy-solid),H (kJ)(alloy-solid),S (J/K)(alloy-solid),V (cc)(alloy-solid),mass (gm)(apatite),rho (gm/cc)(apatite),H (kJ)(apatite),S (J/K)(apatite),V (cc)(apatite),mass (gm)(whitlockite),rho (gm/cc)(whitlockite),H (kJ)(whitlockite),S (J/K)(whitlockite),V (cc)(whitlockite),mass (gm)(quartz),rho (gm/cc)(quartz),H (kJ)(quartz),S (J/K)(quartz),V (cc)(quartz),mass (gm)(tridymite),rho (gm/cc)(tridymite),H (kJ)(tridymite),S (J/K)(tridymite),V (cc)(tridymite),mass (gm)(cristobalite),rho (gm/cc)(cristobalite),H (kJ)(cristobalite),S (J/K)(cristobalite),V (cc)(cristobalite),mass (gm)(muscovite),rho (gm/cc)(muscovite),H (kJ)(muscovite),S (J/K)(muscovite),V (cc)(muscovite),mass (gm)(fluid),rho (gm/cc)(fluid),H (kJ)(fluid),S (J/K)(fluid),V (cc)(fluid),liq mass (gm)(melts-liquid),wt% SiO2(melts-liquid),wt% TiO2(melts-liquid),wt% Al2O3(melts-liquid),wt% FeO(melts-liquid),wt% MgO(melts-liquid),wt% CaO(melts-liquid),wt% Na2O(melts-liquid),wt% K2O(melts-liquid),wt% P2O5(melts-liquid),wt% MnO(melts-liquid),wt% H2O(melts-liquid),wt% Cr2O3(melts-liquid),wt% NiO(melts-liquid),wt% Fe2O3(melts-liquid),liq rho (gm/cc)(melts-liquid),liq vis (log 10 poise)(melts-liquid),liq H (kJ)(melts-liquid),liq S (J/K)(melts-liquid),liq V (cc)(melts-liquid)
1000.0,1598.0,-1.0,100.091814,1.0,0.84,-1179764.970743,152.795839,306.006934,38.374523,-231.335724,2735.826795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09181362931,48.5055,1.0091,17.5739,7.5385,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9156,2.6083,0.8402,-1179.7649707428,306.00693376054,38.374523198075
1000.0,1596.0,-1.0,100.091804,1.0,0.846,-1180070.444493,152.795632,305.843497,38.369043,-231.310385,2735.808702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09180435893,48.5055,1.0091,17.5739,7.5386,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9155,2.6087,0.8455,-1180.0704444931,305.84349720286,38.369042618657
1000.0,1593.0,-1.0,100.091791,1.0,0.854,-1180528.661325,152.795325,305.598017,38.360822,-231.272402,2735.780706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09179101633,48.5055,1.0091,17.5739,7.5387,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9153,2.6092,0.8536,-1180.5286613248,305.59801667291,38.360822369833
1000.0,1591.0,-1.0,100.091782,1.0,0.859,-1180834.143387,152.795122,305.434145,38.355343,-231.247096,2735.761472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09178249837,48.5055,1.0091,17.5739,7.5388,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9153,2.6096,0.8591,-1180.8341433869,305.43414530961,38.355342620115
1000.0,1590.0,-1.0,100.091778,1.0,0.862,-1180986.88568,152.795021,305.352144,38.352603,-231.234448,2735.751683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09177835298,48.5055,1.0091,17.5739,7.5388,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9152,2.6098,0.8618,-1180.9868856796,305.35214418366,38.352602870783
1000.0,1588.0,-1.0,100.09177,1.0,0.867,-1181292.372804,152.794821,305.188011,38.347124,-231.209163,2735.731765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09177029017,48.5055,1.0091,17.5739,7.5389,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9151,2.6102,0.8672,-1181.2923728044,305.18801080694,38.347123624308
1000.0,1587.0,-1.0,100.091766,1.0,0.87,-1181445.117643,152.794722,305.105878,38.344384,-231.196525,2735.721634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09176637307,48.5055,1.0091,17.5739,7.5389,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9151,2.6103,0.8699,-1181.4451176429,305.10587846143,38.34438412762
1000.0,1582.0,-1.0,100.091748,1.0,0.884,-1182208.854724,152.79423,304.694558,38.330688,-231.133388,2735.669276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09174793683,48.5055,1.0091,17.5739,7.5391,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9149,2.6113,0.8836,-1182.2088547241,304.69455826082,38.330687918801
1000.0,1580.0,-1.0,100.091741,1.0,0.889,-1182514.355632,152.794037,304.529722,38.32521,-231.108157,2735.647537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09174110163,48.5055,1.0091,17.5739,7.5391,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9148,2.6116,0.889,-1182.5143556319,304.52972200217,38.325210034373
1000.0,1578.0,-1.0,100.091735,1.0,0.895,-1182819.860051,152.793845,304.364709,38.319732,-231.08294,2735.625344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09173457654,48.5055,1.0091,17.5739,7.5392,9.0717,12.4086,2.6376,0.03,0.0799,0.0,0.1998,0.03,0.0,0.9148,2.612,0.8945,-1182.8198600506,304.36470906644,38.319732495051
