,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,CO2,Fe2O3
tephroite : olivine,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
fayalite : olivine,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ni-olivine : olivine,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
monticellite : olivine,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
forsterite : olivine,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
diopside : orthopyroxene,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
clinoenstatite : orthopyroxene,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hedenbergite : orthopyroxene,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
alumino-buffonite : orthopyroxene,1,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0
buffonite : orthopyroxene,1,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5
essenite : orthopyroxene,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5
jadeite : orthopyroxene,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
diopside : clinopyroxene,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
clinoenstatite : clinopyroxene,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hedenbergite : clinopyroxene,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
alumino-buffonite : clinopyroxene,1,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0
buffonite : clinopyroxene,1,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5
essenite : clinopyroxene,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5
jadeite : clinopyroxene,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
chromite : spinel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
hercynite : spinel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
magnetite : spinel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
spinel : spinel,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ulvospinel : spinel,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
albite : plagioclase,3,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
anorthite : plagioclase,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
sanidine : plagioclase,3,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
albite : k-feldspar,3,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
anorthite : k-feldspar,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
sanidine : k-feldspar,3,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
albite : feldspar,3,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
anorthite : feldspar,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
sanidine : feldspar,3,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
almandine : garnet,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
grossular : garnet,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0
pyrope : garnet,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0
na-nepheline : nepheline,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0
k-nepheline : nepheline,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0
vc-nepheline : nepheline,5,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0
ca-nepheline : nepheline,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0
leucite : leucite,2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
analcime : leucite,2,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0
na-leucite : leucite,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
annite : biotite,3,0,0.5,3,0,0,0,0.5,0,0,1,0,0,0,0
phlogopite : biotite,3,0,0.5,0,3,0,0,0.5,0,0,1,0,0,0,0
geikielite : rhm-oxide,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
hematite : rhm-oxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ilmenite : rhm-oxide,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pyrophanite : rhm-oxide,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
corundum : rhm-oxide,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fe-metal : alloy-solid,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
Ni-metal : alloy-solid,0,0,0,2,0,0,0,0,0,0,0,0,1,0,-1
Fe-liquid : alloy-liquid,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
Ni-liquid : alloy-liquid,0,0,0,2,0,0,0,0,0,0,0,0,1,0,-1
leucite : analcime,2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
analcime : analcime,2,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0
na-leucite : analcime,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
apatite,0,0,0,0,0,5,0,0,1.5,0,0.5,0,0,0,0
whitlockite,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
quartz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tridymite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cristobalite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muscovite,3,0,1.5,0,0,0,0,0.5,0,0,1,0,0,0,0
H2O : fluid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO2 : fluid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Si : melts-liquid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti : melts-liquid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Al : melts-liquid,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Fe : melts-liquid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mg : melts-liquid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ca : melts-liquid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Na : melts-liquid,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
K : melts-liquid,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
P : melts-liquid,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Mn : melts-liquid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H : melts-liquid,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Cr : melts-liquid,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Fe3 : melts-liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Ni : melts-liquid,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C : melts-liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pargasite : hornblende,6,0,1.5,0,4,2,0.5,0,0,0,1,0,0,0,0
ferropargasite : hornblende,6,0,1.5,4,0,2,0.5,0,0,0,1,0,0,0,0
magnesiohastingsite : hornblende,6,0,1,0,4,2,0.5,0,0,0,1,0,0,0,0.5
picro-chromite : spinel,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
mg-wadsleyite : wadsleyite,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
fe-wadsleyite : wadsleyite,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
mg-ringwoodite : ringwoodite,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
fe-ringwoodite : ringwoodite,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
enstatite : orthopyroxene,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ferrosilite : orthopyroxene,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
mg-tschermaks : orthopyroxene,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ortho-diopside : orthopyroxene,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ca-tschermaks : clinopyroxene,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
acmite : clinopyroxene,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5
wollastonite : wollastonite,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pseudowollastonite : pseudowollastonite,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hp-clinoenstatite : hp-clinopyroxene,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hp-clinoferrosilite : hp-clinopyroxene,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ca-perovskite : ca-perovskite,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mg-akimotoite : akimotoite,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fe-akimotoite : akimotoite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
corundum : akimotoite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hematite : akimotoite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eskolaite : akimotoite,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mg-majorite : garnet,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
na-majorite : garnet,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
andradite : garnet,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1
knorringite : garnet,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0
coesite : coesite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stishovite : stishovite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seifertite : seifertite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mg-bridgmanite : bridgmanite,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fe-bridgmanite : bridgmanite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
al-bridgmanite : bridgmanite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ferric-bridgmanite : bridgmanite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ferric-bridgmanite-ls : bridgmanite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ferric-al-bridgmanite : bridgmanite,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
cr-bridgmanite : bridgmanite,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mg-post-perovskite : post-perovskite,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fe-post-perovskite : post-perovskite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
al-post-perovskite : post-perovskite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ferric-post-perovskite : post-perovskite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cr-post-perovskite : post-perovskite,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
periclase : ferropericlase,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
wustite : ferropericlase,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
wustite-ls : ferropericlase,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
alpha-naalo2 : ferropericlase,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
magnetite : ferropericlase,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
mg-ca-ferrite : ca-ferrite,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
fe-ca-ferrite : ca-ferrite,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
na-ca-ferrite : ca-ferrite,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
high-pressure-magnetite : ca-ferrite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
cr-ca-ferrite : ca-ferrite,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
mg-nal-phase : nal-phase,1,0,2.5,0,2,0,0.5,0,0,0,0,0,0,0,0
fe-nal-phase : nal-phase,1,0,2.5,2,0,0,0.5,0,0,0,0,0,0,0,0
na-nal-phase : nal-phase,3,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0
kyanite : kyanite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nepheline : nepheline,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
alpha-iron : alpha-iron,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
gamma-iron : gamma-iron,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
epsilon-iron : epsilon-iron,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
alpha-pbo-type-sio2 : alpha-pbo-type-sio2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
